Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,date
2025-03-24 00:00:00-04:00,5754.0,5754.0,5752.75,5753.0,0,0.0,0.0,2025-03-24
2025-03-24 00:01:00-04:00,5753.0,5753.0,5752.75,5752.75,75,0.0,0.0,2025-03-24
2025-03-24 00:02:00-04:00,5753.0,5753.25,5752.75,5753.25,18,0.0,0.0,2025-03-24
2025-03-24 00:03:00-04:00,5753.0,5753.0,5752.5,5752.5,85,0.0,0.0,2025-03-24
2025-03-24 00:04:00-04:00,5752.5,5753.25,5752.5,5753.0,62,0.0,0.0,2025-03-24
2025-03-24 00:05:00-04:00,5753.0,5753.25,5753.0,5753.25,23,0.0,0.0,2025-03-24
2025-03-24 00:06:00-04:00,5753.0,5753.5,5753.0,5753.5,50,0.0,0.0,2025-03-24
2025-03-24 00:07:00-04:00,5753.5,5753.5,5752.75,5752.75,17,0.0,0.0,2025-03-24
2025-03-24 00:08:00-04:00,5752.75,5753.0,5752.75,5753.0,36,0.0,0.0,2025-03-24
2025-03-24 00:09:00-04:00,5752.75,5753.0,5752.75,5753.0,29,0.0,0.0,2025-03-24
2025-03-24 00:10:00-04:00,5752.75,5753.0,5752.75,5752.75,18,0.0,0.0,2025-03-24
2025-03-24 00:11:00-04:00,5752.75,5753.25,5752.75,5753.25,52,0.0,0.0,2025-03-24
2025-03-24 00:12:00-04:00,5753.25,5753.25,5752.5,5752.75,68,0.0,0.0,2025-03-24
2025-03-24 00:13:00-04:00,5753.0,5753.0,5752.5,5752.75,42,0.0,0.0,2025-03-24
2025-03-24 00:14:00-04:00,5752.5,5753.0,5752.25,5752.5,58,0.0,0.0,2025-03-24
2025-03-24 00:15:00-04:00,5752.5,5753.25,5752.5,5753.0,29,0.0,0.0,2025-03-24
2025-03-24 00:16:00-04:00,5752.75,5753.5,5752.75,5753.5,28,0.0,0.0,2025-03-24
2025-03-24 00:17:00-04:00,5753.5,5753.5,5753.25,5753.25,17,0.0,0.0,2025-03-24
2025-03-24 00:18:00-04:00,5753.25,5753.25,5753.0,5753.25,15,0.0,0.0,2025-03-24
2025-03-24 00:19:00-04:00,5753.25,5753.75,5753.25,5753.75,63,0.0,0.0,2025-03-24
2025-03-24 00:20:00-04:00,5753.5,5754.0,5753.5,5753.5,45,0.0,0.0,2025-03-24
2025-03-24 00:21:00-04:00,5753.5,5753.75,5753.25,5753.25,16,0.0,0.0,2025-03-24
2025-03-24 00:22:00-04:00,5753.5,5753.75,5753.25,5753.25,25,0.0,0.0,2025-03-24
2025-03-24 00:23:00-04:00,5753.25,5753.25,5753.0,5753.0,22,0.0,0.0,2025-03-24
2025-03-24 00:24:00-04:00,5753.25,5753.25,5753.0,5753.0,45,0.0,0.0,2025-03-24
2025-03-24 00:25:00-04:00,5753.0,5753.75,5752.75,5753.75,33,0.0,0.0,2025-03-24
2025-03-24 00:26:00-04:00,5753.75,5754.0,5753.5,5753.75,30,0.0,0.0,2025-03-24
2025-03-24 00:27:00-04:00,5754.0,5754.25,5753.75,5754.0,83,0.0,0.0,2025-03-24
2025-03-24 00:28:00-04:00,5754.0,5754.0,5753.75,5754.0,43,0.0,0.0,2025-03-24
2025-03-24 00:29:00-04:00,5754.25,5754.25,5753.5,5753.75,79,0.0,0.0,2025-03-24
2025-03-24 00:30:00-04:00,5753.75,5754.0,5753.5,5754.0,25,0.0,0.0,2025-03-24
2025-03-24 00:31:00-04:00,5754.0,5754.0,5753.75,5754.0,51,0.0,0.0,2025-03-24
2025-03-24 00:32:00-04:00,5753.75,5754.0,5753.75,5753.75,5,0.0,0.0,2025-03-24
2025-03-24 00:33:00-04:00,5754.0,5754.25,5753.75,5754.0,56,0.0,0.0,2025-03-24
2025-03-24 00:34:00-04:00,5753.75,5754.0,5753.75,5753.75,73,0.0,0.0,2025-03-24
2025-03-24 00:35:00-04:00,5754.0,5754.25,5753.75,5754.25,49,0.0,0.0,2025-03-24
2025-03-24 00:36:00-04:00,5754.25,5754.5,5754.0,5754.5,83,0.0,0.0,2025-03-24
2025-03-24 00:37:00-04:00,5754.5,5755.25,5754.25,5754.5,145,0.0,0.0,2025-03-24
2025-03-24 00:38:00-04:00,5754.5,5754.5,5754.25,5754.5,11,0.0,0.0,2025-03-24
2025-03-24 00:39:00-04:00,5754.25,5754.5,5754.25,5754.5,7,0.0,0.0,2025-03-24
2025-03-24 00:40:00-04:00,5754.25,5754.5,5754.25,5754.5,6,0.0,0.0,2025-03-24
2025-03-24 00:41:00-04:00,5754.25,5754.25,5754.25,5754.25,27,0.0,0.0,2025-03-24
2025-03-24 00:42:00-04:00,5754.25,5754.5,5754.0,5754.5,20,0.0,0.0,2025-03-24
2025-03-24 00:43:00-04:00,5754.5,5754.75,5754.5,5754.5,57,0.0,0.0,2025-03-24
2025-03-24 00:44:00-04:00,5754.75,5755.0,5754.75,5754.75,60,0.0,0.0,2025-03-24
2025-03-24 00:45:00-04:00,5754.5,5754.75,5754.5,5754.5,18,0.0,0.0,2025-03-24
2025-03-24 00:46:00-04:00,5754.75,5754.75,5754.5,5754.75,8,0.0,0.0,2025-03-24
2025-03-24 00:47:00-04:00,5754.5,5754.5,5754.25,5754.5,30,0.0,0.0,2025-03-24
2025-03-24 00:48:00-04:00,5754.75,5754.75,5754.25,5754.25,24,0.0,0.0,2025-03-24
2025-03-24 00:49:00-04:00,5754.5,5754.5,5754.25,5754.25,28,0.0,0.0,2025-03-24
2025-03-24 00:50:00-04:00,5754.0,5754.5,5754.0,5754.5,36,0.0,0.0,2025-03-24
2025-03-24 00:51:00-04:00,5754.25,5754.5,5754.25,5754.25,36,0.0,0.0,2025-03-24
2025-03-24 00:52:00-04:00,5754.25,5754.25,5754.0,5754.25,20,0.0,0.0,2025-03-24
2025-03-24 00:53:00-04:00,5754.25,5754.25,5754.25,5754.25,14,0.0,0.0,2025-03-24
2025-03-24 00:54:00-04:00,5754.5,5754.5,5754.25,5754.25,5,0.0,0.0,2025-03-24
2025-03-24 00:55:00-04:00,5754.25,5754.5,5754.0,5754.5,38,0.0,0.0,2025-03-24
2025-03-24 00:56:00-04:00,5754.5,5754.75,5754.5,5754.5,53,0.0,0.0,2025-03-24
2025-03-24 00:57:00-04:00,5754.5,5754.75,5754.5,5754.75,2,0.0,0.0,2025-03-24
2025-03-24 00:58:00-04:00,5754.75,5754.75,5754.5,5754.5,35,0.0,0.0,2025-03-24
2025-03-24 00:59:00-04:00,5754.5,5754.5,5754.5,5754.5,7,0.0,0.0,2025-03-24
2025-03-24 01:00:00-04:00,5754.5,5755.25,5754.5,5755.25,118,0.0,0.0,2025-03-24
2025-03-24 01:01:00-04:00,5755.0,5755.5,5755.0,5755.5,95,0.0,0.0,2025-03-24
2025-03-24 01:02:00-04:00,5755.25,5755.75,5755.25,5755.75,35,0.0,0.0,2025-03-24
2025-03-24 01:03:00-04:00,5755.5,5755.75,5755.25,5755.5,47,0.0,0.0,2025-03-24
2025-03-24 01:04:00-04:00,5755.5,5755.75,5755.25,5755.5,48,0.0,0.0,2025-03-24
2025-03-24 01:05:00-04:00,5755.25,5755.75,5755.25,5755.5,44,0.0,0.0,2025-03-24
2025-03-24 01:06:00-04:00,5755.5,5756.0,5755.25,5755.75,77,0.0,0.0,2025-03-24
2025-03-24 01:07:00-04:00,5755.75,5756.25,5755.75,5756.25,85,0.0,0.0,2025-03-24
2025-03-24 01:08:00-04:00,5756.25,5756.25,5755.5,5755.5,107,0.0,0.0,2025-03-24
2025-03-24 01:09:00-04:00,5755.75,5756.0,5755.25,5755.25,154,0.0,0.0,2025-03-24
2025-03-24 01:10:00-04:00,5755.0,5755.5,5754.75,5754.75,74,0.0,0.0,2025-03-24
2025-03-24 01:11:00-04:00,5755.25,5755.25,5754.75,5755.25,50,0.0,0.0,2025-03-24
2025-03-24 01:12:00-04:00,5755.0,5755.5,5755.0,5755.5,32,0.0,0.0,2025-03-24
2025-03-24 01:13:00-04:00,5755.5,5755.75,5755.5,5755.75,32,0.0,0.0,2025-03-24
2025-03-24 01:14:00-04:00,5755.75,5756.25,5755.75,5756.25,52,0.0,0.0,2025-03-24
2025-03-24 01:15:00-04:00,5756.25,5756.5,5756.0,5756.0,71,0.0,0.0,2025-03-24
2025-03-24 01:16:00-04:00,5756.25,5756.5,5756.25,5756.5,47,0.0,0.0,2025-03-24
2025-03-24 01:17:00-04:00,5756.5,5756.5,5756.25,5756.5,8,0.0,0.0,2025-03-24
2025-03-24 01:18:00-04:00,5756.25,5756.5,5756.0,5756.25,130,0.0,0.0,2025-03-24
2025-03-24 01:19:00-04:00,5756.5,5757.0,5756.25,5757.0,70,0.0,0.0,2025-03-24
2025-03-24 01:20:00-04:00,5757.0,5757.0,5756.5,5756.5,72,0.0,0.0,2025-03-24
2025-03-24 01:21:00-04:00,5756.25,5756.5,5756.25,5756.25,26,0.0,0.0,2025-03-24
2025-03-24 01:22:00-04:00,5756.5,5757.25,5756.5,5757.25,40,0.0,0.0,2025-03-24
2025-03-24 01:23:00-04:00,5757.0,5757.0,5756.75,5757.0,43,0.0,0.0,2025-03-24
2025-03-24 01:24:00-04:00,5757.0,5757.25,5757.0,5757.25,48,0.0,0.0,2025-03-24
2025-03-24 01:25:00-04:00,5757.25,5757.75,5757.0,5757.0,118,0.0,0.0,2025-03-24
2025-03-24 01:26:00-04:00,5757.0,5757.0,5756.5,5756.75,71,0.0,0.0,2025-03-24
2025-03-24 01:27:00-04:00,5757.0,5757.0,5756.5,5756.75,54,0.0,0.0,2025-03-24
2025-03-24 01:28:00-04:00,5756.5,5756.75,5756.5,5756.5,16,0.0,0.0,2025-03-24
2025-03-24 01:29:00-04:00,5756.75,5757.0,5756.5,5756.5,55,0.0,0.0,2025-03-24
