Datetime,Open,High,Low,Close,Volume
2025-03-31 00:00:00-04:00,5579.5,5579.5,5577.75,5579.25,524
2025-03-31 00:05:00-04:00,5579.25,5580.5,5578.5,5579.5,668
2025-03-31 00:10:00-04:00,5579.5,5579.75,5578.25,5579.5,594
2025-03-31 00:15:00-04:00,5579.5,5580.0,5578.25,5579.0,551
2025-03-31 00:20:00-04:00,5579.0,5580.0,5577.75,5578.5,607
2025-03-31 00:25:00-04:00,5578.5,5582.25,5578.0,5582.25,587
2025-03-31 00:30:00-04:00,5582.0,5583.5,5581.5,5583.25,558
2025-03-31 00:35:00-04:00,5583.5,5589.0,5583.5,5588.0,1049
2025-03-31 00:40:00-04:00,5588.0,5588.0,5584.75,5587.0,1114
2025-03-31 00:45:00-04:00,5587.0,5587.25,5585.75,5586.75,440
2025-03-31 00:50:00-04:00,5586.75,5587.0,5585.0,5585.75,527
2025-03-31 00:55:00-04:00,5585.75,5587.25,5585.5,5587.25,321
2025-03-31 01:00:00-04:00,5586.75,5588.75,5585.0,5588.5,952
2025-03-31 01:05:00-04:00,5588.75,5590.5,5588.25,5588.5,1052
2025-03-31 01:10:00-04:00,5588.75,5591.0,5588.0,5588.75,883
2025-03-31 01:15:00-04:00,5588.5,5589.5,5586.75,5589.0,916
2025-03-31 01:20:00-04:00,5589.25,5591.75,5589.25,5589.75,897
2025-03-31 01:25:00-04:00,5589.5,5589.75,5587.0,5587.5,839
2025-03-31 01:30:00-04:00,5587.75,5587.75,5585.75,5586.5,817
2025-03-31 01:35:00-04:00,5586.5,5586.5,5584.75,5585.5,740
2025-03-31 01:40:00-04:00,5585.0,5586.0,5582.75,5584.5,1082
2025-03-31 01:45:00-04:00,5584.5,5586.25,5584.0,5585.25,481
2025-03-31 01:50:00-04:00,5586.0,5587.25,5585.5,5585.5,508
2025-03-31 01:55:00-04:00,5585.75,5586.5,5585.5,5586.0,436
2025-03-31 02:00:00-04:00,5585.5,5588.25,5581.0,5581.75,1857
2025-03-31 02:05:00-04:00,5582.0,5585.0,5580.0,5584.5,1284
2025-03-31 02:10:00-04:00,5584.25,5586.25,5582.0,5583.5,1037
2025-03-31 02:15:00-04:00,5583.25,5586.75,5583.25,5584.5,919
2025-03-31 02:20:00-04:00,5584.0,5588.0,5583.5,5587.0,931
2025-03-31 02:25:00-04:00,5587.0,5587.0,5580.0,5580.25,1270
2025-03-31 02:30:00-04:00,5580.5,5581.0,5577.75,5580.25,1303
2025-03-31 02:35:00-04:00,5580.25,5581.0,5577.5,5578.75,1052
2025-03-31 02:40:00-04:00,5579.0,5580.0,5577.75,5579.25,546
2025-03-31 02:45:00-04:00,5579.0,5580.75,5577.25,5579.25,1054
2025-03-31 02:50:00-04:00,5579.0,5580.5,5576.25,5579.5,1326
2025-03-31 02:55:00-04:00,5579.5,5582.0,5579.5,5581.75,789
2025-03-31 03:00:00-04:00,5581.0,5583.75,5579.0,5581.0,2490
2025-03-31 03:05:00-04:00,5581.0,5584.5,5572.5,5573.75,3239
2025-03-31 03:10:00-04:00,5573.5,5577.75,5572.5,5575.0,3162
2025-03-31 03:15:00-04:00,5575.25,5579.25,5575.0,5577.75,2020
2025-03-31 03:20:00-04:00,5577.25,5583.75,5577.0,5583.75,3023
2025-03-31 03:25:00-04:00,5583.75,5586.25,5581.25,5585.25,2410
2025-03-31 03:30:00-04:00,5585.25,5585.75,5583.75,5584.0,351
2025-03-31 03:40:00-04:00,5585.25,5587.75,5583.5,5586.75,5099
2025-03-31 03:45:00-04:00,5587.25,5589.75,5585.5,5587.25,1567
2025-03-31 03:50:00-04:00,5587.5,5589.25,5586.25,5589.0,1364
2025-03-31 03:55:00-04:00,5589.25,5589.25,5585.75,5587.5,1888
2025-03-31 04:00:00-04:00,5587.25,5591.25,5581.75,5582.25,4329
2025-03-31 04:05:00-04:00,5582.0,5586.0,5580.0,5585.0,2406
2025-03-31 04:10:00-04:00,5585.25,5590.5,5583.0,5589.75,2000
2025-03-31 04:15:00-04:00,5589.75,5591.5,5587.25,5588.0,2257
2025-03-31 04:20:00-04:00,5588.0,5588.0,5580.0,5580.25,2667
2025-03-31 04:25:00-04:00,5579.75,5584.0,5578.75,5580.75,2705
2025-03-31 04:30:00-04:00,5581.0,5583.25,5579.25,5581.5,2135
2025-03-31 04:35:00-04:00,5581.75,5583.0,5577.5,5581.0,1722
2025-03-31 04:40:00-04:00,5580.75,5582.5,5576.75,5577.5,1830
2025-03-31 04:45:00-04:00,5577.25,5577.75,5574.75,5576.5,2268
2025-03-31 04:50:00-04:00,5576.5,5577.5,5574.25,5574.25,1503
2025-03-31 04:55:00-04:00,5573.75,5574.25,5572.25,5573.0,1505
2025-03-31 05:00:00-04:00,5573.0,5573.0,5566.0,5567.0,4833
2025-03-31 05:05:00-04:00,5566.75,5569.75,5565.0,5565.75,3822
2025-03-31 05:10:00-04:00,5566.5,5569.0,5562.5,5564.5,2978
2025-03-31 05:15:00-04:00,5564.75,5571.75,5564.75,5569.25,3115
2025-03-31 05:20:00-04:00,5568.75,5571.5,5568.0,5571.5,1649
2025-03-31 05:25:00-04:00,5570.75,5576.5,5570.5,5574.75,3107
2025-03-31 05:30:00-04:00,5575.0,5575.5,5574.25,5575.25,259
2025-03-31 05:40:00-04:00,5572.75,5573.5,5568.5,5568.75,5548
2025-03-31 05:45:00-04:00,5568.5,5570.0,5566.5,5569.5,1356
2025-03-31 05:50:00-04:00,5569.75,5571.5,5566.25,5566.5,1796
2025-03-31 05:55:00-04:00,5566.75,5569.25,5566.25,5569.0,1768
2025-03-31 06:00:00-04:00,5568.75,5572.25,5568.5,5569.5,1516
2025-03-31 06:05:00-04:00,5569.5,5571.0,5567.25,5567.5,1320
2025-03-31 06:10:00-04:00,5567.5,5570.75,5566.0,5570.75,1463
2025-03-31 06:15:00-04:00,5570.75,5570.75,5566.5,5568.25,1790
2025-03-31 06:20:00-04:00,5569.0,5571.25,5567.0,5567.25,1785
2025-03-31 06:25:00-04:00,5567.75,5572.25,5567.75,5571.0,1370
2025-03-31 06:30:00-04:00,5571.0,5573.5,5570.0,5572.75,1162
2025-03-31 06:35:00-04:00,5572.75,5574.5,5571.75,5573.0,1025
2025-03-31 06:40:00-04:00,5573.0,5574.0,5571.5,5572.0,946
2025-03-31 06:45:00-04:00,5572.0,5576.5,5571.25,5573.25,1809
2025-03-31 06:50:00-04:00,5573.0,5575.25,5571.5,5573.5,1152
2025-03-31 06:55:00-04:00,5573.5,5574.0,5572.25,5572.5,976
2025-03-31 07:00:00-04:00,5572.75,5575.75,5569.25,5572.25,2161
2025-03-31 07:05:00-04:00,5572.0,5573.0,5563.75,5563.75,3338
2025-03-31 07:10:00-04:00,5564.25,5568.0,5564.0,5565.75,1926
2025-03-31 07:15:00-04:00,5565.75,5570.25,5565.75,5566.25,1986
2025-03-31 07:20:00-04:00,5566.0,5566.5,5563.0,5563.0,1929
2025-03-31 07:25:00-04:00,5563.0,5564.0,5556.0,5557.75,5118
2025-03-31 07:30:00-04:00,5558.0,5559.75,5552.0,5553.5,4695
2025-03-31 07:35:00-04:00,5553.75,5559.5,5553.5,5558.25,3013
2025-03-31 07:40:00-04:00,5558.5,5562.25,5557.5,5558.25,2438
2025-03-31 07:45:00-04:00,5558.25,5563.25,5557.75,5562.5,2629
2025-03-31 07:50:00-04:00,5562.75,5565.0,5561.75,5562.25,2432
2025-03-31 07:55:00-04:00,5562.25,5564.25,5561.5,5562.75,1832
2025-03-31 08:00:00-04:00,5562.75,5565.25,5559.75,5560.25,3101
2025-03-31 08:05:00-04:00,5560.75,5565.25,5560.0,5563.5,3444
2025-03-31 08:10:00-04:00,5563.0,5564.0,5559.5,5560.75,2226
2025-03-31 08:15:00-04:00,5560.25,5560.75,5557.25,5558.25,2504
2025-03-31 08:20:00-04:00,5558.25,5561.75,5557.25,5561.0,2178
2025-03-31 08:25:00-04:00,5561.25,5568.0,5560.75,5565.75,4192
2025-03-31 08:30:00-04:00,5565.75,5570.25,5564.25,5570.0,3863
2025-03-31 08:35:00-04:00,5569.75,5573.75,5569.25,5572.5,4460
2025-03-31 08:40:00-04:00,5572.5,5574.0,5568.5,5573.5,3163
2025-03-31 08:45:00-04:00,5573.75,5575.0,5571.0,5573.5,3284
2025-03-31 08:50:00-04:00,5573.5,5574.75,5571.5,5572.25,2527
2025-03-31 08:55:00-04:00,5572.25,5574.5,5571.75,5574.25,1716
2025-03-31 09:00:00-04:00,5574.5,5577.5,5571.0,5572.25,4632
2025-03-31 09:05:00-04:00,5572.25,5575.75,5570.25,5575.0,3147
2025-03-31 09:10:00-04:00,5575.0,5576.75,5572.0,5572.5,3184
2025-03-31 09:15:00-04:00,5572.75,5573.25,5569.75,5569.75,2888
2025-03-31 09:20:00-04:00,5570.0,5570.25,5567.25,5567.75,3853
2025-03-31 09:25:00-04:00,5567.5,5568.5,5562.25,5563.75,11224
